,timestamp,x,y,z
6498,2024-08-07 01:16:37,1.2817,-10.6812,23.9258
6499,2024-08-07 01:16:37,1.1597,-10.9863,25.5127
6500,2024-08-07 01:16:38,1.0986,-11.3525,26.9165
6501,2024-08-07 01:16:38,0.9155,-12.085,29.2358
6502,2024-08-07 01:16:38,0.7935,-12.146,30.2124
6503,2024-08-07 01:16:38,0.6714,-12.085,31.189
6504,2024-08-07 01:16:38,0.1831,-11.2915,32.7759
6505,2024-08-07 01:16:38,0.061,-11.1084,33.3252
6506,2024-08-07 01:16:38,-0.061,-10.9863,33.7524
6507,2024-08-07 01:16:39,-0.3052,-10.9863,34.3018
6508,2024-08-07 01:16:39,-0.3662,-10.9253,34.4238
6509,2024-08-07 01:16:39,-0.4883,-10.6812,34.4238
6510,2024-08-07 01:16:39,-0.7324,-9.5825,34.1187
6511,2024-08-07 01:16:39,-0.7935,-8.8501,33.6304
6512,2024-08-07 01:16:39,-0.8545,-8.1787,32.3486
6513,2024-08-07 01:16:39,-0.9155,-7.1411,31.4331
6514,2024-08-07 01:16:40,-0.8545,-6.897,30.5786
6515,2024-08-07 01:16:40,-0.8545,-6.4087,28.5034
6516,2024-08-07 01:16:40,-0.8545,-6.0425,27.3438
6517,2024-08-07 01:16:40,-0.9155,-5.3101,26.1841
6518,2024-08-07 01:16:40,-0.9766,-3.479,23.1934
6519,2024-08-07 01:16:40,-1.0986,-2.5024,21.6064
6520,2024-08-07 01:16:41,-1.0376,-1.709,19.8364
6521,2024-08-07 01:16:41,-1.0376,-0.3662,16.2354
6522,2024-08-07 01:16:41,-1.0376,0.1831,14.2822
6523,2024-08-07 01:16:41,-0.9155,0.6714,12.2681
6524,2024-08-07 01:16:41,-0.7935,2.1362,8.3008
6525,2024-08-07 01:16:41,-0.7935,2.9297,6.2256
6526,2024-08-07 01:16:41,-0.7324,3.7231,4.2114
6527,2024-08-07 01:16:42,-0.5493,5.0659,0.1221
6528,2024-08-07 01:16:42,-0.4272,5.5542,-1.9531
6529,2024-08-07 01:16:42,-0.3052,6.0425,-4.0283
6530,2024-08-07 01:16:42,0.0,6.958,-8.1177
6531,2024-08-07 01:16:42,0.1221,7.5684,-10.0708
6532,2024-08-07 01:16:42,0.1831,8.1177,-11.9629
6533,2024-08-07 01:16:42,0.3662,9.3994,-15.625
6534,2024-08-07 01:16:43,0.4272,9.8267,-17.395
6535,2024-08-07 01:16:43,0.6104,10.1929,-19.104
6536,2024-08-07 01:16:43,0.8545,10.6201,-22.2778
6537,2024-08-07 01:16:43,0.9766,10.6812,-23.6816
6538,2024-08-07 01:16:43,1.0986,10.8032,-24.9023
6539,2024-08-07 01:16:43,1.3428,10.8643,-27.2827
6540,2024-08-07 01:16:43,1.3428,11.1694,-28.2593
6541,2024-08-07 01:16:44,1.4038,11.4746,-29.2358
6542,2024-08-07 01:16:44,1.5259,11.8408,-30.7007
6543,2024-08-07 01:16:44,1.6479,11.7188,-31.3721
6544,2024-08-07 01:16:44,1.77,11.4746,-31.9824
6545,2024-08-07 01:16:44,1.77,11.2915,-32.6538
6546,2024-08-07 01:16:44,1.77,11.1694,-32.7148
6547,2024-08-07 01:16:45,1.77,10.9253,-32.4707
6548,2024-08-07 01:16:45,1.6479,10.0098,-31.8604
6549,2024-08-07 01:16:45,1.5869,9.9487,-31.4331
6550,2024-08-07 01:16:45,1.4648,9.9487,-31.0669
6551,2024-08-07 01:16:45,1.3428,10.1318,-29.9683
6552,2024-08-07 01:16:45,1.3428,9.8267,-29.1138
6553,2024-08-07 01:16:45,1.2817,9.0942,-27.0386
6554,2024-08-07 01:16:46,1.3428,6.7749,-25.6958
6555,2024-08-07 01:16:46,1.2817,5.7373,-24.353
6556,2024-08-07 01:16:46,1.1597,4.7607,-21.4233
6557,2024-08-07 01:16:46,1.0376,4.7607,-19.8364
6558,2024-08-07 01:16:46,0.9766,4.6387,-18.2495
6559,2024-08-07 01:16:46,0.9155,3.8452,-14.8926
6560,2024-08-07 01:16:46,1.0376,2.8687,-13.1836
6561,2024-08-07 01:16:47,1.0986,1.709,-11.3525
6562,2024-08-07 01:16:47,1.2207,-0.2441,-7.3242
6563,2024-08-07 01:16:47,1.1597,-0.7935,-5.3101
6564,2024-08-07 01:16:47,1.0986,-1.0986,-3.2959
6565,2024-08-07 01:16:47,0.9766,-1.5259,0.7324
6566,2024-08-07 01:16:47,0.9155,-2.0752,2.6855
6567,2024-08-07 01:16:47,0.9155,-2.8687,4.6387
6568,2024-08-07 01:16:48,0.9766,-4.8828,8.667
6569,2024-08-07 01:16:48,0.9766,-5.6152,10.6812
6570,2024-08-07 01:16:48,0.9155,-6.1035,12.6953
6571,2024-08-07 01:16:48,0.9155,-6.4697,16.3574
6572,2024-08-07 01:16:48,0.8545,-6.6528,18.0664
6573,2024-08-07 01:16:48,0.8545,-7.019,19.5923
6574,2024-08-07 01:16:49,0.9155,-8.1787,22.522
6575,2024-08-07 01:16:49,0.9155,-8.7891,23.9868
6576,2024-08-07 01:16:49,0.8545,-9.0942,25.3296
6577,2024-08-07 01:16:49,0.6104,-9.2163,28.0151
6578,2024-08-07 01:16:49,0.4883,-9.2773,29.1138
6579,2024-08-07 01:16:49,0.4272,-9.3994,30.0903
6580,2024-08-07 01:16:49,0.3052,-9.8877,31.5552
6581,2024-08-07 01:16:50,0.3052,-10.0098,32.0435
6582,2024-08-07 01:16:50,0.2441,-10.0098,32.5317
6583,2024-08-07 01:16:50,0.0,-9.6436,33.02
6584,2024-08-07 01:16:50,-0.1221,-9.3384,33.2031
6585,2024-08-07 01:16:50,-0.1831,-9.2163,33.2031
6586,2024-08-07 01:16:50,-0.4272,-9.0332,33.02
6587,2024-08-07 01:16:51,-0.4883,-8.9722,32.7148
6588,2024-08-07 01:16:51,-0.5493,-8.7891,32.2876
6589,2024-08-07 01:16:51,-0.7324,-8.0566,30.8228
6590,2024-08-07 01:16:51,-0.7935,-7.5073,29.9072
6591,2024-08-07 01:16:51,-0.9155,-6.958,28.8086
6592,2024-08-07 01:16:51,-0.9766,-6.0425,26.5503
6593,2024-08-07 01:16:51,-1.0376,-5.6763,25.2686
6594,2024-08-07 01:16:52,-1.1597,-5.3101,24.0479
6595,2024-08-07 01:16:52,-1.2817,-4.4556,21.3013
6596,2024-08-07 01:16:52,-1.3428,-3.9673,19.7144
6597,2024-08-07 01:16:52,-1.4038,-3.3569,18.0664
6598,2024-08-07 01:16:52,-1.3428,-2.1362,14.2822
6599,2024-08-07 01:16:52,-1.3428,-1.4038,12.4512
6600,2024-08-07 01:16:53,-1.2207,-0.8545,8.5449
6601,2024-08-07 01:16:53,-1.0376,0.1221,6.5918
6602,2024-08-07 01:16:53,-0.9766,0.6104,4.6997
6603,2024-08-07 01:16:53,-0.8545,1.1597,0.9155
6604,2024-08-07 01:16:53,-0.6104,2.5024,-1.0986
6605,2024-08-07 01:16:53,-0.3662,2.9297,-3.1738
6606,2024-08-07 01:16:54,-0.3052,4.2725,-7.0801
6607,2024-08-07 01:16:54,0.061,4.8218,-9.0332
6608,2024-08-07 01:16:54,0.2441,5.4932,-10.7422
6609,2024-08-07 01:16:54,0.4883,6.1646,-14.4043
6610,2024-08-07 01:16:54,0.5493,6.897,-15.9302
6611,2024-08-07 01:16:54,0.6714,7.1411,-17.6392
6612,2024-08-07 01:16:54,1.0986,6.7749,-21.0571
6613,2024-08-07 01:16:55,1.2207,6.8359,-22.583
6614,2024-08-07 01:16:55,1.2207,7.4463,-23.8647
6615,2024-08-07 01:16:55,1.2817,8.5449,-26.6724
6616,2024-08-07 01:16:55,1.0986,9.8877,-27.5269
6617,2024-08-07 01:16:55,0.8545,11.1084,-28.1982
6618,2024-08-07 01:16:55,0.6714,11.8408,-28.9917
6619,2024-08-07 01:16:55,0.8545,10.8643,-29.6631
6620,2024-08-07 01:16:56,1.0376,9.9487,-30.2124
6621,2024-08-07 01:16:56,1.0986,9.3384,-31.25
6622,2024-08-07 01:16:56,1.2207,9.7656,-31.7383
6623,2024-08-07 01:16:56,1.0986,10.7422,-31.8604
6624,2024-08-07 01:16:56,0.8545,12.085,-31.25
6625,2024-08-07 01:16:56,0.7935,11.9019,-30.5786
6626,2024-08-07 01:16:57,0.8545,10.8643,-29.9072
6627,2024-08-07 01:16:57,1.0986,8.8501,-28.2593
6628,2024-08-07 01:16:57,1.1597,8.3618,-27.4048
6629,2024-08-07 01:16:57,1.1597,8.4839,-26.4893
6630,2024-08-07 01:16:57,1.1597,9.1553,-24.8413
6631,2024-08-07 01:16:57,1.1597,9.2773,-23.8647
6632,2024-08-07 01:16:57,1.2817,8.9722,-22.7661
6633,2024-08-07 01:16:58,1.4648,7.019,-19.9585
6634,2024-08-07 01:16:58,1.5259,5.8594,-18.3716
6635,2024-08-07 01:16:58,1.5259,5.127,-16.4795
6636,2024-08-07 01:16:58,1.3428,4.2725,-12.5122
6637,2024-08-07 01:16:58,1.2207,4.0894,-10.6201
