id,timestamp,x,y,z
-O3cCLbnhs9TOT_0j7M0,2024-08-07 01:01:14,0.6714,0.9155,0.7324
-O3cCLe2mBc2-sy3j50e,2024-08-07 01:01:14,0.8545,1.0986,0.7935
-O3cCLgHEiqK1h61Kpw8,2024-08-07 01:01:15,0.9155,1.1597,0.7935
-O3cCLiNBhu-2n7GxvAj,2024-08-07 01:01:15,0.9766,1.0376,0.7935
-O3cCLkc0rFdY2pibxkS,2024-08-07 01:01:15,1.0376,0.7324,0.6714
-O3cCLmtlveKG59Qbhj8,2024-08-07 01:01:15,1.0986,0.6104,0.5493
-O3cCLp4mOXPUOTFJqqP,2024-08-07 01:01:15,1.0376,0.7324,0.4272
-O3cCLrX6W8p250IdrFg,2024-08-07 01:01:15,0.8545,0.8545,0.4883
-O3cCLtfvnLwBeG5enR2,2024-08-07 01:01:15,0.6714,0.7324,0.5493
-O3cCLvv4QO9wspLz1QA,2024-08-07 01:01:16,0.5493,0.6104,0.6104
-O3cCLy77nj3KseOy8wd,2024-08-07 01:01:16,0.3052,0.3052,0.7324
-O3cCM-Ir-06DyECXz8C,2024-08-07 01:01:16,0.2441,0.3052,0.6714
-O3cCM1O6PFTN_VIUjrr,2024-08-07 01:01:16,0.061,0.3662,0.6104
-O3cCM3WrIbsI-zt-M97,2024-08-07 01:01:16,-0.061,0.6714,0.4272
-O3cCM5hpRDsM9CeARHA,2024-08-07 01:01:16,-0.1221,0.6714,0.3052
-O3cCM7sQxUN45P115sB,2024-08-07 01:01:16,-0.1221,0.6104,0.3052
-O3cCMA6TmTpbF1ymt-3,2024-08-07 01:01:17,-0.1831,0.1831,0.4272
-O3cCMCOFOsH-RrXEDK9,2024-08-07 01:01:17,-0.2441,0,0.4883
-O3cCMEe0GCZXR6aDzHZ,2024-08-07 01:01:17,-0.1831,0.1221,0.5493
-O3cCMH4ZrWo80JfRC2H,2024-08-07 01:01:17,-0.1221,0.3662,0.6104
-O3cCMJLTcrUkgoS731_,2024-08-07 01:01:17,-0.061,0.3662,0.5493
-O3cCMLfuThZOCgYf7im,2024-08-07 01:01:17,0,0.4272,0.6104
-O3cCMNjmglodQxcUUHk,2024-08-07 01:01:17,0.1831,0.1221,0.6714
-O3cCMPxkj3VAZdA3b1Z,2024-08-07 01:01:18,0.2441,0.2441,0.7935
-O3cCMS80AloICaV4R8G,2024-08-07 01:01:18,0.3662,0.3052,0.7324
-O3cCMUKZA546tEax2FQ,2024-08-07 01:01:18,0.6104,0,0.5493
-O3cCMW_l5fVnLo-1TwN,2024-08-07 01:01:18,0.7324,0,0.4883
-O3cCMYmowaVWZaKxMQt,2024-08-07 01:01:18,0.7935,-0.061,0.4883
-O3cCMa0VmTTMejXSy_7,2024-08-07 01:01:18,0.8545,0,0.7324
-O3cCMc9SrNf-muS8OV-,2024-08-07 01:01:18,0.8545,-0.061,0.8545
-O3cCMeMoclQo5jtttjj,2024-08-07 01:01:19,0.9155,-0.2441,0.8545
-O3cCMgJMBOgnaa8IbhP,2024-08-07 01:01:19,0.9766,-0.3662,0.7324
-O3cCMiU1sMnflU5iR_w,2024-08-07 01:01:19,0.9766,-0.1221,0.7324
-O3cCMn6Jd1vHtudm1uw,2024-08-07 01:01:19,0.8545,0.3052,0.7324
-O3cCMpGKpaARIx5Lh4A,2024-08-07 01:01:19,0.7324,1.0986,0.7935
-O3cCMrIbak5CXT3aPAT,2024-08-07 01:01:19,0.6714,1.2207,0.7935
-O3cCMtKkGepqaa9_WUZ,2024-08-07 01:01:19,0.6104,0.9155,0.6714
-O3cCMvQJfiv38YryvMu,2024-08-07 01:01:20,0.4883,0.3662,0.4272
-O3cCMxW3c4HVTAdoKMp,2024-08-07 01:01:20,0.4272,0.3052,0.4272
-O3cCMzk8Dqd3bfia2jl,2024-08-07 01:01:20,0.3052,0.3662,0.5493
