Timestamp,x,y,z
2024-09-01 01:58:47,0.31, 0.61, 0.55
2024-09-01 01:58:48,0.37, 0.61, 0.61
2024-09-01 01:58:49,0.31, 0.61, 0.61
2024-09-01 01:58:50,0.31, 0.67, 0.61
2024-09-01 01:58:51,0.37, 0.61, 0.55
2024-09-01 01:58:52,0.31, 0.61, 0.55
2024-09-01 01:58:53,0.31, 0.61, 0.61
2024-09-01 01:58:54,0.37, 0.61, 0.61
2024-09-01 01:58:55,0.31, 0.61, 0.61
2024-09-01 01:58:56,0.31, 0.61, 0.55
2024-09-01 01:58:57,-0.06, 0.55, 0.55
2024-09-01 01:58:58,0.31, 0.61, 0.61
2024-09-01 01:58:59,0.37, 0.61, 0.55
2024-09-01 02:00:08,0.31, 0.61, 0.61
2024-09-01 02:00:09,0.37, 0.61, 0.55
2024-09-01 02:00:10,0.37, 0.61, 0.61
2024-09-01 02:03:18,0.31, 0.61, 0.61
2024-09-01 02:03:18,0.31, 0.61, 0.55
2024-09-01 02:03:18,0.37, 0.61, 0.61
2024-09-01 02:03:18,0.37, 0.61, 0.55
2024-09-01 02:03:18,0.31, 0.67, 0.61
2024-09-01 02:03:18,0.37, 0.55, 0.61
2024-09-01 02:03:18,0.31, 0.61, 0.61
2024-09-01 02:03:19,0.43, 0.61, 0.61
2024-09-01 02:03:20,0.37, 0.61, 0.61
2024-09-01 02:03:21,0.31, 0.61, 0.61
2024-09-01 02:03:22,0.37, 0.61, 0.67
2024-09-01 02:03:23,0.31, 0.67, 0.55
2024-09-01 02:03:24,0.37, 0.61, 0.61
2024-09-01 02:03:25,0.37, 0.55, 0.61
2024-09-01 02:03:26,0.37, 0.61, 0.61
2024-09-01 02:03:27,0.31, 0.61, 0.61
2024-09-01 02:03:28,0.31, 0.61, 0.55
2024-09-01 02:03:29,0.37, 0.61, 0.61
2024-09-01 02:03:30,0.37, 0.61, 0.55
2024-09-01 02:03:31,0.37, 0.61, 0.61
2024-09-01 02:03:32,0.37, 0.61, 0.61
2024-09-01 02:03:33,0.37, 0.61, 0.55
2024-09-01 02:03:34,0.31, 0.67, 0.67
