time,value
2024-08-27T18:30:50.750735008Z,-0.42510986328125
2024-08-27T18:30:51.724850734Z,-0.54364013671875
2024-08-27T18:30:52.745059932Z,-0.3448638916015625
2024-08-27T18:30:53.742510347Z,-0.4280853271484375
2024-08-27T18:30:54.765512366Z,-0.6309967041015625
2024-08-27T18:30:55.750091197Z,-0.5725860595703125
2024-08-27T18:30:56.941874213Z,-0.5643768310546875
2024-08-27T18:30:57.781182089Z,-0.47979736328125
2024-08-27T18:30:58.775071455Z,-0.447265625
2024-08-27T18:30:59.831892154Z,-0.3877716064453125
2024-08-27T18:31:00.819405434Z,-0.32061767578125
2024-08-27T18:31:01.769087574Z,-0.346282958984375
2024-08-27T18:31:02.780769306Z,-0.33831787109375
2024-08-27T18:31:03.795048337Z,-0.447906494140625
2024-08-27T18:31:04.768838784Z,-0.434295654296875
2024-08-27T18:31:05.79817755Z,-0.3270263671875
2024-08-27T18:31:06.80791613Z,-0.590362548828125
2024-08-27T18:31:07.793218276Z,-0.395263671875
2024-08-27T18:31:08.788407916Z,-0.6027069091796875
2024-08-27T18:31:09.787215652Z,-0.776123046875
2024-08-27T18:31:10.787775833Z,-0.4000396728515625
2024-08-27T18:31:11.786418235Z,-0.26220703125
2024-08-27T18:31:12.786977029Z,-0.183990478515625
2024-08-27T18:31:13.784697417Z,-0.1584014892578125
2024-08-27T18:31:14.788559194Z,-0.0134429931640625
2024-08-27T18:31:15.781724732Z,-0.009063720703125
2024-08-27T18:31:16.788496746Z,-0.0116119384765625
2024-08-27T18:31:17.7917595Z,-0.0105133056640625
2024-08-27T18:31:18.78488881Z,-0.009002685546875
2024-08-27T18:31:19.788049111Z,-0.0086669921875
2024-08-27T18:31:20.798282157Z,-0.0094146728515625
2024-08-27T18:31:21.789237345Z,-0.0069427490234375
2024-08-27T18:31:22.792926547Z,-0.00897216796875
2024-08-27T18:31:23.816523687Z,-0.009979248046875
2024-08-27T18:31:24.792664445Z,-0.0114593505859375
2024-08-27T18:31:25.794401777Z,-0.0068511962890625
2024-08-27T18:31:26.79653105Z,-0.008819580078125
2024-08-27T18:31:27.795520628Z,-0.006591796875
2024-08-27T18:31:28.799011079Z,-0.0085296630859375
2024-08-27T18:31:29.798382971Z,-0.0090484619140625
2024-08-27T18:31:30.808271253Z,-0.0093841552734375
2024-08-27T18:31:31.799079525Z,-0.0094757080078125
2024-08-27T18:31:32.796879157Z,-0.0115509033203125
2024-08-27T18:31:33.803017176Z,-0.010528564453125
2024-08-27T18:31:34.804622674Z,-0.00958251953125
2024-08-27T18:31:35.800949937Z,-0.0089111328125
2024-08-27T18:31:36.802427997Z,-0.010986328125
2024-08-27T18:31:37.808142843Z,-0.00714111328125
2024-08-27T18:31:38.799741298Z,-0.010650634765625
2024-08-27T18:31:39.805133136Z,-0.0103302001953125
2024-08-27T18:31:40.805572668Z,-0.0088653564453125
2024-08-27T18:31:41.80610723Z,-0.0095062255859375
2024-08-27T18:31:42.806599594Z,-0.0118560791015625
2024-08-27T18:31:43.805474616Z,-0.0089263916015625
2024-08-27T18:31:44.81264467Z,-0.010986328125
2024-08-27T18:31:45.810078604Z,-0.01043701171875
2024-08-27T18:31:46.809711747Z,-0.0088348388671875
2024-08-27T18:31:47.809263768Z,-0.0079803466796875
2024-08-27T18:31:48.963708919Z,-0.008880615234375
2024-08-27T18:31:49.816990554Z,-0.0077362060546875
2024-08-27T18:31:50.819920289Z,-0.0100250244140625
2024-08-27T18:31:51.814539548Z,-0.0085296630859375
2024-08-27T18:31:52.815414804Z,-0.009735107421875
2024-08-27T18:31:53.814421364Z,-0.007232666015625
2024-08-27T18:31:54.819312146Z,-0.009857177734375
2024-08-27T18:31:55.818442412Z,-0.0087738037109375
2024-08-27T18:31:56.820675677Z,-0.0124664306640625
2024-08-27T18:31:57.822529672Z,-0.009765625
2024-08-27T18:31:58.81986345Z,-0.0092620849609375
2024-08-27T18:31:59.818690174Z,-0.0095977783203125
2024-08-27T18:32:00.823460095Z,-0.0092315673828125
2024-08-27T18:32:01.821361698Z,-0.006866455078125
2024-08-27T18:32:02.823615807Z,-0.0084075927734375
2024-08-27T18:32:03.826918917Z,-0.0047454833984375
2024-08-27T18:32:04.833934239Z,-0.0076904296875
2024-08-27T18:32:05.850427185Z,-0.005767822265625
2024-08-27T18:32:06.830006155Z,-0.006500244140625
2024-08-27T18:32:07.827036819Z,-0.0091552734375
2024-08-27T18:32:08.824964461Z,-0.00982666015625
2024-08-27T18:32:09.829263514Z,-0.0060577392578125
2024-08-27T18:32:10.833557255Z,-0.0094146728515625
2024-08-27T18:32:11.829768657Z,-0.0096435546875
2024-08-27T18:32:12.86990171Z,-0.0059661865234375
2024-08-27T18:32:13.828688772Z,-0.0129241943359375
2024-08-27T18:32:14.837772097Z,-0.0126953125
2024-08-27T18:32:15.832371075Z,-0.012451171875
2024-08-27T18:32:16.836979402Z,-0.0097808837890625
2024-08-27T18:32:17.837764153Z,-0.0092620849609375
