,index,Timestamp,X,Y,Z
0,1,2024-08-31 03:22:58,-0.0035247802734375,-0.0142974853515625,-1.0027618408203125
1,2,2024-08-31 03:22:59,-0.0015716552734375,-0.0146636962890625,-1.0037994384765625
2,3,2024-08-31 03:23:00,-0.0076446533203125,-0.0167388916015625,-1.002838134765625
3,4,2024-08-31 03:23:01,-0.0002899169921875,-0.014129638671875,-1.0043792724609375
4,5,2024-08-31 03:23:02,-0.00250244140625,-0.016876220703125,-1.002349853515625
5,6,2024-08-31 03:23:03,-0.006927490234375,-0.0171661376953125,-1.003021240234375
6,7,2024-08-31 03:23:04,-0.002960205078125,-0.015411376953125,-1.003143310546875
7,8,2024-08-31 03:23:05,-0.0080413818359375,-0.0149688720703125,-1.0030975341796875
8,9,2024-08-31 03:23:06,-0.0083160400390625,-0.01519775390625,-1.002166748046875
9,10,2024-08-31 03:23:07,-0.0059356689453125,-0.014556884765625,-1.00262451171875
10,11,2024-08-31 03:23:08,-0.001678466796875,-0.014434814453125,-1.002471923828125
11,12,2024-08-31 03:23:09,-0.00439453125,-0.0159454345703125,-1.0013580322265625
12,13,2024-08-31 03:23:10,-0.0036773681640625,-0.0164794921875,-1.0029144287109375
13,14,2024-08-31 03:23:11,-0.005279541015625,-0.0166015625,-1.002593994140625
14,15,2024-08-31 03:23:12,-0.0037078857421875,-0.0135498046875,-1.0014495849609375
15,16,2024-08-31 03:23:13,-0.0034942626953125,-0.01690673828125,-1.0028228759765625
16,17,2024-08-31 03:23:14,-0.0014495849609375,-0.015106201171875,-1.005279541015625
17,18,2024-08-31 03:23:15,-0.0105743408203125,-0.016998291015625,-1.001220703125
18,19,2024-08-31 03:23:16,-0.0054168701171875,-0.0190582275390625,-1.0012359619140625
19,20,2024-08-31 03:23:19,-0.001800537109375,-0.0135345458984375,-1.002166748046875
