Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z
2024-08-29 00:41:41,0.01556396484375,0,0
2024-08-29 00:41:51,-0.007904052734375,0.0012359619140625,-1.0024871826171875
2024-08-29 00:41:54,-0.00372314453125,-0.0177459716796875,-1.0058135986328125
2024-08-29 00:41:57,-0.00634765625,-0.024078369140625,-1.001129150390625
2024-08-29 00:42:00,-0.0054931640625,-0.0241851806640625,-1.0032196044921875
2024-08-29 00:42:03,-0.0098876953125,-0.027801513671875,-1.0029754638671875
2024-08-29 00:42:06,-0.0103607177734375,-0.0178070068359375,-1.0025634765625
2024-08-29 00:42:09,-0.0044403076171875,-0.02655029296875,-1.0052337646484375
2024-08-29 00:42:12,-0.00640869140625,-0.0193634033203125,-1.00311279296875
2024-08-29 00:42:15,-0.009124755859375,-0.0222015380859375,-1.0019378662109375
2024-08-29 00:42:19,-0.0075225830078125,-0.0247039794921875,-1.0027008056640625
2024-08-29 00:42:22,-0.00579833984375,-0.0252227783203125,-0.99798583984375
2024-08-29 00:42:25,-0.005645751953125,-0.022064208984375,-1.0011749267578125
2024-08-29 00:42:28,-0.005584716796875,-0.022125244140625,-1.0024566650390625
2024-08-29 00:42:31,-0.003997802734375,-0.0218048095703125,-1.0024871826171875
2024-08-29 00:42:34,-0.005767822265625,-0.021453857421875,-1.00360107421875
2024-08-29 00:42:37,-0.0026092529296875,-0.0233917236328125,-1.000518798828125
2024-08-29 00:42:40,-0.0032196044921875,-0.0222015380859375,-1.0025482177734375
2024-08-29 00:42:43,-0.003326416015625,-0.0215606689453125,-1.0046234130859375
2024-08-29 00:42:46,-0.0097808837890625,-0.01629638671875,-1.000579833984375
2024-08-29 00:42:49,-0.0042266845703125,-0.02215576171875,-1.00225830078125
2024-08-29 00:42:53,-0.00299072265625,-0.0227203369140625,-1.0009613037109375
2024-08-29 00:42:57,-0.005218505859375,-0.02154541015625,-1.0025482177734375
2024-08-29 00:43:00,-0.0113525390625,-0.0203399658203125,-1.002532958984375
2024-08-29 00:43:03,-0.003662109375,-0.02545166015625,-1.0045166015625
2024-08-29 00:43:06,-0.0089569091796875,-0.02093505859375,-1.0023040771484375
2024-08-29 00:43:09,-0.00469970703125,-0.02581787109375,-1.00048828125
2024-08-29 00:43:12,-0.005889892578125,-0.0210113525390625,-1.0027618408203125
2024-08-29 00:43:15,-0.004913330078125,-0.0233001708984375,-1.002532958984375
2024-08-29 00:43:18,-0.00628662109375,-0.02093505859375,-1.00341796875
2024-08-29 00:43:21,-0.0057525634765625,-0.022186279296875,-1.0024871826171875
2024-08-29 00:43:24,-0.003448486328125,-0.021148681640625,-1.0029754638671875
