,index,Timestamp,X,Y,Z
0,1,2024-08-31 03:22:37,0.0,0.0,0.0
1,2,2024-08-31 03:22:37,-0.0040283203125,-0.01605224609375,-1.003082275390625
2,3,2024-08-31 03:22:38,0.003021240234375,-0.0206146240234375,-1.002716064453125
3,4,2024-08-31 03:22:39,-0.007049560546875,-0.01666259765625,-1.00140380859375
4,5,2024-08-31 03:22:40,-0.0042266845703125,-0.013702392578125,-1.002197265625
5,6,2024-08-31 03:22:41,-0.0038604736328125,-0.0147857666015625,-1.0017242431640625
6,7,2024-08-31 03:22:42,-0.005126953125,-0.0180511474609375,-1.0002288818359375
7,8,2024-08-31 03:22:43,-0.0057373046875,-0.0137939453125,-1.0014495849609375
8,9,2024-08-31 03:22:44,-0.0109710693359375,-0.0113372802734375,-0.9987945556640625
9,10,2024-08-31 03:22:45,-0.0063018798828125,-0.015472412109375,-1.001556396484375
10,11,2024-08-31 03:22:46,-0.0070037841796875,-0.0172882080078125,-1.0047607421875
11,12,2024-08-31 03:22:47,-0.006866455078125,-0.0162811279296875,-0.9991607666015625
12,13,2024-08-31 03:22:48,-0.0067138671875,-0.0186767578125,-1.0020294189453125
13,14,2024-08-31 03:22:49,-0.0072021484375,-0.0165863037109375,-1.0031585693359375
14,15,2024-08-31 03:22:50,-0.0014495849609375,-0.01513671875,-1.0023956298828125
15,16,2024-08-31 03:22:51,-0.0022430419921875,-0.011260986328125,-1.00347900390625
16,17,2024-08-31 03:22:52,-1.52587890625e-05,-0.01300048828125,-1.008270263671875
17,18,2024-08-31 03:22:53,-0.0059814453125,-0.01507568359375,-1.0009918212890625
18,19,2024-08-31 03:22:54,-0.0074615478515625,-0.0146942138671875,-1.0031280517578125
19,20,2024-08-31 03:22:55,-0.0038299560546875,-0.0137939453125,-1.0029144287109375
